ngram,idf
BIND_GLOBAL NOP,7.217190127966701
BIND_GLOBAL OP_DATA,7.267200548541362
BIND_GLOBAL POST_INC,7.102120798181914
BIND_GLOBAL PRE_INC,9.321324282236908
BIND_GLOBAL QM_ASSIGN,10.93076219467101
BIND_GLOBAL RETURN,8.01299146258673
BIND_GLOBAL ROPE_INIT,6.40355355015263
BIND_GLOBAL SEND_VAL_EX,6.586956772817325
BIND_GLOBAL SEND_VAR,10.93076219467101
BIND_GLOBAL SEND_VAR_EX,6.430952524340744
BIND_GLOBAL STRLEN,7.935029921117017
BIND_GLOBAL SWITCH_STRING,7.480774648839422
BIND_GLOBAL TYPE_CHECK,7.241882740557073
BIND_GLOBAL UNSET_CV,10.237615014111064
BIND_GLOBAL UNSET_DIM,10.525297086562844
BIND_GLOBAL UNSET_OBJ,10.525297086562844
BIND_LEXICAL ASSIGN,7.217190127966701
BIND_LEXICAL ASSIGN_DIM,9.139002725442953
BIND_LEXICAL ASSIGN_OBJ,9.832149906002899
BIND_LEXICAL BIND_LEXICAL,6.291190581965585
BIND_LEXICAL FETCH_DIM_W,10.93076219467101
BIND_LEXICAL FETCH_OBJ_W,9.139002725442953
BIND_LEXICAL FREE,10.014471462796854
BIND_LEXICAL INIT_ARRAY,9.321324282236908
BIND_LEXICAL OP_DATA,10.93076219467101
BIND_LEXICAL QM_ASSIGN,9.832149906002899
BIND_LEXICAL RETURN,7.546371931325234
BIND_LEXICAL SEND_VAL,7.616576189998483
BIND_LEXICAL SEND_VAL_EX,5.617556215629222
BIND_STATIC ADD,10.014471462796854
BIND_STATIC ASSIGN,6.960470281118887
BIND_STATIC ASSIGN_DIM,9.058960017769417
BIND_STATIC ASSIGN_OBJ,9.321324282236908
BIND_STATIC ASSIGN_OP,10.525297086562844
BIND_STATIC ASSIGN_REF,6.09845643609917
BIND_STATIC BEGIN_SILENCE,10.237615014111064
BIND_STATIC BIND_GLOBAL,10.93076219467101
BIND_STATIC BIND_LEXICAL,9.832149906002899
BIND_STATIC BIND_STATIC,5.903597598623542
BIND_STATIC BOOL,10.93076219467101
BIND_STATIC BOOL_NOT,6.586956772817325
BIND_STATIC CAST,10.014471462796854
BIND_STATIC CHECK_FUNC_ARG,8.2227119935688
BIND_STATIC CONCAT,9.544467833551119
BIND_STATIC COUNT,9.677999226175642
BIND_STATIC DEFINED,10.93076219467101
BIND_STATIC DO_FCALL,7.347243256214899
BIND_STATIC ECHO,10.237615014111064
BIND_STATIC FETCH_CLASS,9.058960017769417
BIND_STATIC FETCH_CONSTANT,9.321324282236908
BIND_STATIC FETCH_DIM_IS,10.525297086562844
BIND_STATIC FETCH_DIM_R,7.293176034944623
BIND_STATIC FETCH_IS,10.014471462796854
BIND_STATIC FETCH_OBJ_IS,9.677999226175642
BIND_STATIC FETCH_OBJ_R,7.229460220558515
BIND_STATIC FETCH_R,10.014471462796854
BIND_STATIC FETCH_THIS,10.014471462796854
BIND_STATIC FETCH_W,9.139002725442953
BIND_STATIC FE_RESET_R,7.465026291871283
BIND_STATIC FUNC_GET_ARGS,10.237615014111064
BIND_STATIC INCLUDE_OR_EVAL,10.525297086562844
BIND_STATIC INIT_ARRAY,8.73353761733479
BIND_STATIC INIT_FCALL,7.375414133181595
BIND_STATIC INIT_USER_CALL,10.93076219467101
BIND_STATIC INSTANCEOF,9.139002725442953
BIND_STATIC IN_ARRAY,10.93076219467101
BIND_STATIC IS_EQUAL,8.73353761733479
BIND_STATIC IS_IDENTICAL,8.790696031174738
BIND_STATIC IS_NOT_EQUAL,10.237615014111064
BIND_STATIC IS_SMALLER,9.832149906002899
BIND_STATIC JMP,10.014471462796854
BIND_STATIC JMPNZ,10.93076219467101
BIND_STATIC JMPNZ_EX,9.426684797894735
BIND_STATIC JMPZ,6.64717563281038
BIND_STATIC JMPZ_EX,9.544467833551119
BIND_STATIC JMP_FRAMELESS,7.8172468854606345
BIND_STATIC MUL,9.677999226175642
BIND_STATIC NEW,8.25661354524448
BIND_STATIC NOP,10.93076219467101
BIND_STATIC OP_DATA,10.525297086562844
BIND_STATIC PRE_INC,8.097548850614793
BIND_STATIC RETURN,8.2227119935688
BIND_STATIC RETURN_BY_REF,10.014471462796854
BIND_STATIC ROPE_INIT,9.832149906002899
BIND_STATIC SEND_UNPACK,10.525297086562844
BIND_STATIC SEND_VAL,10.93076219467101
BIND_STATIC SEND_VAL_EX,7.293176034944623
BIND_STATIC SEND_VAR,10.237615014111064
BIND_STATIC SEND_VAR_EX,6.376885303070468
BIND_STATIC STRLEN,10.237615014111064
BIND_STATIC SWITCH_STRING,10.93076219467101
BIND_STATIC THROW,10.525297086562844
BIND_STATIC TYPE_CHECK,6.414423222389533
BIND_STATIC UNSET_DIM,10.93076219467101
BOOL ASSIGN,4.723178711185781
BOOL ASSIGN_DIM,7.580858107396404
